11:14:27.623 place-ship: size=4 pos=(7,0) dir=vertical
11:14:27.624 place-ship: size=3 pos=(2,2) dir=vertical
11:14:27.625 place-ship: size=3 pos=(4,1) dir=vertical
11:14:27.625 place-ship: size=2 pos=(7,8) dir=vertical
11:14:27.625 place-ship: size=2 pos=(7,6) dir=horizontal
11:14:27.625 place-ship: size=2 pos=(5,8) dir=vertical
11:14:27.625 place-ship: size=1 pos=(2,8) dir=horizontal
11:14:27.625 place-ship: size=1 pos=(3,0) dir=horizontal
11:14:27.625 place-ship: size=1 pos=(8,2) dir=horizontal
11:14:27.625 place-ship: size=1 pos=(9,6) dir=vertical
11:14:27.627 shot: pos=(2,6) result=miss
11:14:27.627 enemy-shot: pos=(0,1) result=miss
11:14:27.627 shot: pos=(7,8) result=miss
11:14:27.627 enemy-shot: pos=(6,6) result=miss
11:14:27.627 shot: pos=(8,9) result=miss
11:14:27.627 enemy-shot: pos=(4,7) result=miss
11:14:27.628 shot: pos=(1,2) result=hit
11:14:27.628 enemy-shot: pos=(6,9) result=miss
11:14:27.628 shot: pos=(9,4) result=miss
11:14:27.628 enemy-shot: pos=(0,7) result=miss
11:14:27.628 shot: pos=(1,7) result=miss
11:14:27.628 enemy-shot: pos=(2,1) result=miss
11:14:27.628 shot: pos=(3,2) result=hit
11:14:27.628 enemy-shot: pos=(1,2) result=miss
11:14:27.628 shot: pos=(4,9) result=hit
11:14:27.628 enemy-shot: pos=(9,8) result=miss
11:14:27.628 shot: pos=(0,8) result=miss
11:14:27.628 enemy-shot: pos=(4,2) result=hit
11:14:27.628 shot: pos=(6,0) result=miss
11:14:27.628 enemy-shot: pos=(5,0) result=miss
11:14:27.628 shot: pos=(2,4) result=miss
11:14:27.628 enemy-shot: pos=(8,9) result=miss
11:14:27.628 shot: pos=(3,4) result=miss
11:14:27.629 enemy-shot: pos=(7,1) result=hit
11:14:27.629 shot: pos=(7,9) result=miss
11:14:27.629 enemy-shot: pos=(4,8) result=miss
11:14:27.629 shot: pos=(4,2) result=hit
11:14:27.629 enemy-shot: pos=(5,6) result=miss
11:14:27.629 shot: pos=(6,9) result=miss
11:14:27.629 enemy-shot: pos=(4,9) result=miss
11:14:27.629 shot: pos=(5,3) result=hit
11:14:27.629 enemy-shot: pos=(9,4) result=miss
11:14:27.629 shot: pos=(3,3) result=miss
11:14:27.629 enemy-shot: pos=(6,1) result=miss
11:14:27.629 shot: pos=(8,1) result=miss
11:14:27.629 enemy-shot: pos=(6,3) result=miss
11:14:27.629 shot: pos=(2,2) result=sunk ship-size=2
11:14:27.629 enemy-shot: pos=(6,4) result=miss
11:14:27.629 shot: pos=(5,4) result=hit
11:14:27.629 enemy-shot: pos=(3,2) result=miss
11:14:27.629 shot: pos=(1,4) result=miss
11:14:27.629 enemy-shot: pos=(7,2) result=hit
11:14:27.629 shot: pos=(6,3) result=hit
11:14:27.629 enemy-shot: pos=(8,7) result=miss
11:14:27.629 shot: pos=(3,6) result=miss
11:14:27.629 enemy-shot: pos=(2,3) result=hit
11:14:27.629 shot: pos=(1,1) result=miss
11:14:27.629 enemy-shot: pos=(5,2) result=miss
11:14:27.629 shot: pos=(7,2) result=miss
11:14:27.630 enemy-shot: pos=(1,0) result=miss
11:14:27.630 shot: pos=(3,8) result=miss
11:14:27.630 enemy-shot: pos=(1,4) result=miss
11:14:27.630 shot: pos=(6,6) result=miss
11:14:27.630 enemy-shot: pos=(5,7) result=miss
11:14:27.630 shot: pos=(1,3) result=miss
11:14:27.630 enemy-shot: pos=(4,5) result=miss
11:14:27.630 shot: pos=(7,4) result=miss
11:14:27.630 enemy-shot: pos=(8,2) result=sunk ship-size=1
11:14:27.630 shot: pos=(6,2) result=miss
11:14:27.630 enemy-shot: pos=(4,0) result=miss
11:14:27.630 shot: pos=(4,6) result=miss
11:14:27.630 enemy-shot: pos=(7,7) result=miss
11:14:27.630 shot: pos=(4,4) result=sunk ship-size=1
11:14:27.630 enemy-shot: pos=(2,9) result=miss
11:14:27.630 shot: pos=(3,1) result=miss
11:14:27.630 enemy-shot: pos=(5,9) result=hit
11:14:27.630 shot: pos=(4,1) result=miss
11:14:27.630 enemy-shot: pos=(6,5) result=miss
11:14:27.630 shot: pos=(7,7) result=hit
11:14:27.630 enemy-shot: pos=(5,4) result=miss
11:14:27.630 shot: pos=(9,0) result=miss
11:14:27.630 enemy-shot: pos=(2,4) result=hit
11:14:27.630 shot: pos=(5,2) result=sunk ship-size=3
11:14:27.630 enemy-shot: pos=(8,5) result=miss
11:14:27.630 shot: pos=(9,6) result=miss
11:14:27.630 enemy-shot: pos=(2,8) result=sunk ship-size=1
11:14:27.630 shot: pos=(6,7) result=hit
11:14:27.630 enemy-shot: pos=(9,2) result=miss
11:14:27.630 shot: pos=(0,7) result=sunk ship-size=1
11:14:27.630 enemy-shot: pos=(6,2) result=miss
11:14:27.630 shot: pos=(8,8) result=miss
11:14:27.630 enemy-shot: pos=(8,0) result=miss
11:14:27.630 shot: pos=(6,1) result=miss
11:14:27.630 enemy-shot: pos=(8,1) result=miss
11:14:27.630 shot: pos=(2,1) result=miss
11:14:27.630 enemy-shot: pos=(9,3) result=miss
11:14:27.630 shot: pos=(5,1) result=miss
11:14:27.630 enemy-shot: pos=(4,3) result=hit
11:14:27.630 shot: pos=(4,3) result=miss
11:14:27.630 enemy-shot: pos=(9,7) result=miss
11:14:27.630 shot: pos=(6,8) result=miss
11:14:27.630 enemy-shot: pos=(7,8) result=hit
11:14:27.630 shot: pos=(8,2) result=miss
11:14:27.630 enemy-shot: pos=(0,4) result=miss
11:14:27.630 shot: pos=(0,5) result=miss
11:14:27.630 enemy-shot: pos=(1,8) result=miss
11:14:27.630 shot: pos=(5,6) result=hit
11:14:27.630 enemy-shot: pos=(6,7) result=miss
11:14:27.630 shot: pos=(7,0) result=miss
11:14:27.630 enemy-shot: pos=(5,5) result=miss
11:14:27.630 shot: pos=(5,0) result=miss
11:14:27.630 enemy-shot: pos=(3,7) result=miss
11:14:27.631 shot: pos=(9,9) result=miss
11:14:27.631 enemy-shot: pos=(3,4) result=miss
11:14:27.631 shot: pos=(1,8) result=miss
11:14:27.631 enemy-shot: pos=(9,0) result=miss
11:14:27.631 shot: pos=(2,0) result=miss
11:14:27.631 enemy-shot: pos=(1,7) result=miss
11:14:27.631 shot: pos=(0,4) result=miss
11:14:27.631 enemy-shot: pos=(0,3) result=miss
